Customer_ID,Age,Gender,Account_Type,Account_Balance,Transaction_Date,Transaction_Amount,Transaction_Type,Branch,Loan_Amount,Loan_Type,Credit_Score,Is_Employed,Annual_Income,Marital_Status,Region,Account_Open_Date,Last_Transaction_Date,Number_of_Transactions,Account_Activity_Trend,Customer_Service_Interactions,Recent_Complaints,Change_in_Account_Balance,Customer_Satisfaction_Score,Churn_Label,Churn_Timeframe
8f0b813f-971a-45c8-8347-48a0d5cd3f2e,50,Female,Savings,26046.21,2025-02-14,4819.48,Payment,Freemanview,1063.29,Personal,475,False,154965.66,Single,West,2022-08-26,2025-03-24,8,Increasing,1,2,-1024.51,1,1,1
ec299825-6aa6-47f3-bfc0-0b65d3d4b1e3,69,Female,Checking,27415.23,2025-02-26,3072.79,Deposit,Floresmouth,35493.9,Home,483,True,187805.23,Widowed,East,2024-06-18,2025-03-02,4,Stable,1,0,-2900.1,3,0,0
3f992fba-cd14-417e-b5d9-55173b985bef,38,Female,Checking,86709.64,2025-03-26,1423.93,Deposit,West Francis,0.0,None,567,True,59195.91,Married,West,2020-08-17,2025-03-13,2,Increasing,4,0,-2600.01,1,0,0
be551680-156f-4f47-b283-192bbcb80571,57,Male,Savings,56826.79,2025-02-25,3929.43,Deposit,Diazport,41939.84,None,334,False,161364.43,Single,South,2023-09-15,2025-03-26,18,Stable,0,2,154.73,1,1,11
644424a9-3423-4a0a-84bb-d83677e73f98,30,Male,Checking,27586.9,2025-01-21,4241.96,Payment,West Marytown,0.0,None,707,False,48553.41,Married,North,2023-12-27,2025-02-28,17,Decreasing,0,1,1608.54,4,0,0
d6a72d79-fb88-4855-9157-2f8dd0c1c526,30,Other,Savings,31095.45,2025-02-19,4894.99,Withdrawal,West Rogerbury,45162.09,None,562,True,26430.74,Widowed,East,2020-04-10,2025-01-13,4,Increasing,3,0,1697.87,1,1,1
3d62a865-3bb8-482b-bb5f-8287f5e64fd3,37,Male,Savings,96155.32,2025-03-17,1110.05,Deposit,West Donnaborough,33356.46,Business,480,True,80858.3,Widowed,East,2022-03-01,2025-03-06,1,Stable,5,1,513.12,4,1,6
87860efb-4431-44d9-b167-42370e687f52,47,Male,Savings,33081.66,2025-01-10,4955.42,Deposit,Josephton,33191.1,Car,809,False,22709.28,Married,South,2025-03-28,2025-01-24,18,Stable,1,0,-1473.22,1,0,0
2ca92f15-83ef-4203-92b7-d09b5c18a47e,31,Other,Savings,79625.6,2025-03-13,1746.21,Deposit,North Erika,0.0,None,659,False,142907.94,Divorced,South,2022-07-29,2025-01-06,2,Increasing,1,0,3352.6,5,0,0
52dfb78d-a115-4eac-a880-29383d9609ca,25,Other,Checking,1868.59,2025-03-21,1031.48,Withdrawal,Nicholasbury,0.0,None,791,True,26374.34,Single,East,2021-07-22,2025-02-10,14,Stable,1,0,-2153.04,5,0,0
